List of GSM companies w.e.f 06.06.2019,,,,
Sr. No.,Scrip code,Security Name,ISIN,GSM Stage
396,524723,Bijoy Hans Ltd,INE491D01017,0
397,531680,Mayur Leather Products Ltd,INE799E01011,0
398,526935,MB Parikh Finstocks Ltd,INE377D01018,0
399,539938,Medico Intercontinental Ltd,INE858Q01019,0
400,512505,Meenakshi Steel Industries Ltd,NA,0
401,511276,Mefcom Agro Industries Ltd,INE188C01011,0
402,532105,Mega Fin India Ltd,INE524D01015,0
403,511367,Meglon Infra-Real (India) Ltd,INE218B01018,I
404,511740,Mehta Housing Finance Ltd,INE239B01014,0
405,511738,Mehta Securities Ltd,INE241B01010,II
406,532307,Melstar Information Technologies Ltd,INE817A01019,I
407,531127,Mena Mani Industries Ltd,INE148B01025,0
408,531357,Mercury Metals Ltd,INE763M01028,0
409,512415,Mercury Trade Links Ltd,INE319T01016,0
410,500274,Mesco Pharmaceuticals Ltd,INE839X01015,I
411,532990,Metkore Alloys & Industries Ltd,INE592I01029,I
412,513496,Mewat Zinc Ltd,INE235U01012,I
413,526622,MFL India Ltd,INE244C01020,I
414,513721,MFS Intercorp Ltd,INE614F01019,I
415,523343,Microse India Ltd,INE809F01015,0
416,526251,Mid East Portfolio Management Ltd,INE033E01015,0
417,500277,Mid India Industries Ltd,INE401C01018,I
418,526570,Midwest Gold Ltd,INE519N01014,0
419,511018,Milgrey Finance & Investments Ltd,INE679T01013,III
420,511187,Millennium Online Solutions ( India ) Ltd,INE570N01025,0
421,523373,Mini Diamonds India Ltd,INE281E01010,0
422,505797,Mipco Seamless Rings Gujarat Ltd,INE860N01012,0
423,505336,Mirch Technologies (India) Ltd,INE098E01018,0
424,532127,Mobile Tele Communications Ltd,INE770B01026,VI
425,519287,Modern Dairies Ltd,INE617B01011,II
426,513303,Modern Steels Ltd,INE001F01019,I
427,503776,Modipon Ltd,INE170C01019,0
428,532078,Monnet Industries Ltd,INE407E01029,I
429,505343,Monotype India Ltd,INE811D01024,I
430,539199,Moongipa Securities Ltd,INE618R01015,0
431,526237,Morgan Ventures Ltd,INE902C01015,I
432,507522,Mount Shivalik Industries Ltd,INE410C01019,I
433,506543,MP Agro Industries Ltd,INE468C01017,0
434,500450,MPIL Corporation Ltd,INE844C01027,III
435,526143,Mpl Plastics Ltd,INE343A01016,I
436,512065,Mrugesh Trading Ltd,INE738D01011,0
437,538743,Mudunuru Ltd,INE491C01027,I
438,523832,Mukat Pipes Ltd,INE862C01029,I
439,504356,Multipurpose Trading & Agencies Ltd,INE017P01014,0
440,511200,Munoth Capital Markets Ltd,INE910G01027,0
441,511401,Munoth Communication Ltd,INE410E01015,II
442,531821,Munoth Financial Services Ltd,INE348D01019,0
443,538862,My Money Securities Ltd,INE232L01018,0
444,534184,Nagarjuna Oil Refinery Ltd,INE453M01018,0
445,538395,Nam Securities Ltd,INE792G01011,II
446,540204,Narendra Investments (Delhi) Ltd,INE666Q01016,II
447,531834,Natura Hue Chem Ltd,INE487B01019,0
448,523242,NB Footwear Ltd,INE006F01018,0
449,531452,NCC Finance Ltd,INE768B01012,0
450,531049,Neelkanth Rockminerals Ltd,INE741D01015,I
451,537838,Negotium International Trade Ltd,INE339P01046,I
452,514332,Neo Infracon Ltd,INE216I01017,I
453,526195,Neogem India Ltd,INE552E01014,I
454,509040,Netlink Solutions India Ltd,INE040F01033,I
455,523558,Network Ltd,INE010C01025,0
456,532887,Neueon Towers Ltd,INE333I01036,I
457,508867,New Markets Advisory Ltd,INE800K01014,0
458,501479,Springform Technology Ltd,NA,0
459,538874,Nexus Commodities And Technologies Ltd,INE370Q01015,I
460,590028,Nicco Corporation Ltd,INE241C01026,VI
461,523209,Nicco Uco Alliance Credit Ltd,INE917B01023,0
462,512103,Nidhi Granites Ltd,INE276H01013,II
463,531598,Nimbus Foods Industries Ltd,INE301B01020,III
464,539311,Nishtha Finance and Investment (India) Ltd,INE217Q01018,I
465,532854,Nitin Fire Protection Industries Ltd,INE489H01020,0
466,512245,Nivi Trading Ltd,INE552F01011,0
467,539200,Noble Polymers Ltd,INE203Q01026,I
468,530435,Noesis Industries Ltd,INE141B01020,VI
469,524414,Norris Medicines Ltd,INE744C01029,I
470,539110,Northlink Fiscal and Capital Services Ltd,INE736P01019,I
471,531465,Nouveau Global Ventures Ltd,INE317B01034,0
472,530733,Nova Publications India Ltd,INE900O01014,I
473,531791,NovaGold Petro Resources Ltd,INE517G01012,VI
474,530219,Nutricircle Ltd,INE536C01029,I
475,531819,Nuway Organic Naturals India Ltd,INE414L01012,0
476,538547,Oasis Tradelink Ltd,INE189Q01019,0
477,538894,Octal Credit Capital Ltd,INE513C01010,0
478,538537,Omansh Enterprises Ltd,INE378P01028,0
479,519479,Omega Ag-Seeds Punjab Ltd,INE112B01013,I
480,531496,Omkar Overseas Ltd,INE680D01015,0
481,532167,Omkar Pharmachem Ltd,INE501C01015,III
482,514324,Omnitex Industries India Ltd,INE814D01010,I
483,530805,Onesource Ideas Venture Ltd,INE125F01024,0
484,540386,Ontic Finserve Ltd,INE989S01034,I
485,539598,Oracle Credit Ltd,INE727C01016,0
486,531157,Organic Coatings Ltd,INE412E01011,0
487,531626,Orosil Smiths India Ltd,INE628B01034,I
488,501179,Oscar Investments Ltd,INE221D01018,0
489,504256,Deltron Ltd,INE272R01011,I
490,531065,Oswal Overseas Ltd,INE906K01019,I
491,514460,Oswal Yarns Ltd,INE670H01017,0
492,523151,OTCO International Ltd,INE910B01028,0
